Timestamp,Beacon_Address,Beacon_Major,Beacon_Minor,RSSI_Value,Calculated_Distance,Actual_Distance_Provided
1755681457.5347497,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,4.5
1755681457.5700943,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,4.5
1755681457.6017787,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,4.5
1755681457.6619031,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,4.5
1755681457.795063,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
1755681457.8443646,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,4.5
1755681457.8819728,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
1755681458.1214106,C3:00:00:39:47:98,1701,1071,-88,2.7542287033381663,4.5
1755681458.1628523,C3:00:00:39:47:98,1701,1071,-78,1.096478196143185,4.5
1755681458.1877086,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,4.5
1755681458.21699,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
1755681458.284228,C3:00:00:39:47:98,1701,1071,-87,2.51188643150958,4.5
1755681458.4275389,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,4.5
1755681458.450506,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,4.5
1755681458.4720352,C3:00:00:39:47:98,1701,1071,-74,0.7585775750291838,4.5
1755681458.4975357,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,4.5
1755681458.533133,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,4.5
1755681458.597162,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,4.5
1755681458.7382526,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,4.5
1755681458.7879007,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,4.5
1755681458.794589,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,4.5
1755681458.812293,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,4.5
1755681458.844852,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,4.5
1755681458.9006548,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,4.5
1755681459.1176374,C3:00:00:39:47:95,3112,2113,-77,1.0,4.5
1755681459.1663325,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,4.5
1755681459.2109578,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,4.5
1755681459.2170243,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,4.5
1755681459.4357302,C3:00:00:39:47:95,3112,2113,-76,0.9120108393559098,4.5
1755681459.4441495,C3:00:00:39:47:98,1701,1071,-77,1.0,4.5
1755681459.4713697,C3:00:00:39:47:95,3112,2113,-77,1.0,4.5
1755681459.662718,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,4.5
1755681459.7327354,C3:00:00:39:47:98,1701,1071,-74,0.7585775750291838,4.5
1755681459.7473137,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
1755681459.7900739,C3:00:00:39:47:95,3112,2113,-77,1.0,4.5
1755681459.809212,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,4.5
1755681460.0464246,C3:00:00:39:47:98,1701,1071,-74,0.7585775750291838,4.5
1755681460.0520194,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,4.5
